"統計名：","平成28年社会生活基本調査 調査票Ａに基づく結果 生活時間に関する結果 生活時間編（全国）"
"表番号：","1-1"
"表題：","曜日,男女,ふだんの就業状態,スマートフォン・パソコンなどの使用時間,年齢,行動の種類別総平均時間(15歳以上)－全国"
"実施年月：","2016年","10月"

"表章項目","曜日4_071_2016A","男女3_001_2016A","時間軸(年次)","ふだんの就業状態9_007_2016A","スマートフォン・PCなどの使用時間8_085_2016A","年齢20_002_2016A","/行動の種類24_074_2016A","サンプルサイズ","推定人口【千人】","00_総数【分】","01_睡眠【分】","02_身の回りの用事【分】","03_食事【分】","04_通勤・通学【分】","05_仕事【分】","06_学業【分】","07_家事【分】","08_介護・看護【分】","09_育児【分】","10_買い物【分】","11_移動(通勤・通学を除く)【分】","12_テレビ・ラジオ・新聞・雑誌【分】","13_休養・くつろぎ【分】","14_学習・自己啓発・訓練(学業以外)【分】","15_趣味・娯楽【分】","16_スポーツ【分】","17_ボランティア活動・社会参加活動【分】","18_交際・付き合い【分】","19_受診・療養【分】","20_その他【分】","R1_（再掲）１次活動【分】","R2_（再掲）２次活動【分】","R3_（再掲）３次活動【分】"
"総平均時間","1_週全体","0_総数","2016年","0_総数","1_使用しなかった","15_85歳以上","","13,158","3,765","1,440","568","97","124","1","15","1","72","5","1","16","14","255","164","6","26","6","2","12","29","27","790","110","540"
"総平均時間","1_週全体","0_総数","2016年","0_総数","1_使用しなかった","R1_(再掲)20歳以上","","153,227","42,157","1,440","480","87","112","19","165","4","102","5","6","28","24","200","100","6","35","12","4","15","12","22","679","330","432"
"総平均時間","1_週全体","0_総数","2016年","0_総数","1_使用しなかった","R2_(再掲)35歳以上","","147,310","39,862","1,440","479","88","113","18","157","2","106","6","5","29","25","207","99","6","35","12","5","15","13","22","680","321","439"
"総平均時間","1_週全体","0_総数","2016年","0_総数","1_使用しなかった","R3_(再掲)65歳以上","","94,484","25,152","1,440","497","91","121","8","74","1","113","6","2","30","24","243","108","6","40","15","5","16","16","24","709","233","498"
"総平均時間","1_週全体","0_総数","2016年","0_総数","1_使用しなかった","R4_(再掲)75歳以上","","47,750","13,141","1,440","523","95","125","3","35","1","103","5","1","27","20","254","129","7","35","13","4","15","20","24","743","175","521"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","00_総数","","176,598","64,870","1,440","442","79","94","43","264","38","78","3","23","25","33","99","94","14","54","12","4","19","5","17","615","474","351"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","01_15～19歳","","15,539","5,228","1,440","456","72","86","63","44","322","6","0","1","11","24","55","115","46","67","33","2","19","3","16","614","446","380"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","02_20～24歳","","11,342","5,483","1,440","475","76","86","57","236","107","14","0","6","18","29","53","113","22","89","11","2","29","3","12","637","439","364"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","03_25～29歳","","12,020","5,605","1,440","465","73","85","48","331","12","37","1","38","21","32","58","100","14","79","5","2","24","3","13","623","487","330"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","04_30～34歳","","14,574","6,262","1,440","456","75","86","45","324","3","65","3","70","24","31","58","92","9","53","6","2","18","5","13","618","535","287"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","05_35～39歳","","17,371","6,832","1,440","443","78","90","43","327","3","83","3","60","25","33","69","89","7","42","7","3","16","5","14","611","543","286"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","06_40～44歳","","21,677","7,848","1,440","432","79","91","44","327","3","101","3","29","26","33","81","92","7","43","8","4","16","5","15","603","534","303"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","07_45～49歳","","19,538","7,068","1,440","417","81","92","45","331","4","109","4","9","27","30","101","91","7","40","9","3","16","5","18","591","529","320"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","08_50～54歳","","16,518","5,544","1,440","415","81","95","44","331","3","105","4","3","29","34","114","86","8","36","9","3","16","7","16","592","520","329"
"総平均時間","1_週全体","0_総数","2016年","0_総数","2_使用した","09_55～59歳","","14,485","4,525","1,440","416","81","98","41","296","2","106","7","4","31","34","139","83","8","36","11","5","17","6","19","595","488","357"
